Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,78831,-,-,-,33.53,-114.66,-8,76,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
1998,1,1,0,30,10,0,0,0,0,1,0,0,0,0,60.67,165.12,0.193,1000,1.67,63.800000000000004,1.6,0.0000,0.0000
1998,1,1,1,30,10,0,0,0,0,1,0,0,0,0,60.01,154.12,0.193,1000,1.624,70.4,1.7000000000000002,0.0000,0.0000
1998,1,1,2,30,10,0,0,0,0,1,0,0,0,0,63.32,141.85,0.193,1000,1.579,78.2,1.9000000000000001,0.0000,0.0000
1998,1,1,3,30,9,0,0,0,0,1,0,0,0,0,62.34,129.36,0.193,1000,1.537,84.9,2.1,0.0000,0.0000
1998,1,1,4,30,9,0,0,0,0,1,0,0,0,0,61.47,116.96000000000001,0.193,1000,1.5030000000000001,90.30000000000001,2.3000000000000003,0.0000,0.0000
1998,1,1,5,30,9,0,0,0,1,0,0,0,1,0,65.07000000000001,104.86,0.193,1000,1.476,93.7,2.5,0.0000,0.0000
1998,1,1,6,30,9,0,0,0,1,0,0,0,0,0,60.32,93.26,0.193,1000,1.464,95.10000000000001,2.9000000000000004,0.0000,0.0000
1998,1,1,7,30,12,35,500,101,0,1,35,500,0,101,56.02,82.41,0.193,1000,1.468,96.30000000000001,3.6,0.0000,0.0000
1998,1,1,8,30,15,57,737,276,0,1,57,737,0,276,46.03,72.7,0.193,1000,1.477,101,4.2,13.7829,10.6331
1998,1,1,9,30,18,69,839,428,0,1,69,839,0,428,38.480000000000004,64.68,0.193,1000,1.486,108.5,4.3,22.8826,17.8158
