Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,81325,-,-,-,33.81,-113.82,-7,394,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
1998,1,1,0,30,10,0,0,0,7,1,0,0,0,0,57.59,169.03,0.191,970,1.606,63.400000000000006,1.6,0.0000,0.0000
1998,1,1,1,30,9,0,0,0,0,0,0,0,0,0,56.83,164.41,0.191,970,1.587,70.3,1.6,0.0000,0.0000
1998,1,1,2,30,9,0,0,0,0,0,0,0,0,0,59.92,153.37,0.191,970,1.554,79.7,1.6,0.0000,0.0000
1998,1,1,3,30,9,0,0,0,0,0,0,0,0,0,59.120000000000005,141.13,0.191,960,1.51,87.7,1.7000000000000002,0.0000,0.0000
1998,1,1,4,30,8,0,0,0,0,0,0,0,0,0,58.31,128.68,0.191,960,1.462,92.9,1.8,0.0000,0.0000
1998,1,1,5,30,8,0,0,0,0,0,0,0,0,0,57.550000000000004,116.33,0.191,960,1.414,96.30000000000001,2,0.0000,0.0000
1998,1,1,6,30,8,0,0,0,0,0,0,0,1,0,60.92,104.29,0.191,960,1.37,98.60000000000001,2.1,0.0000,0.0000
1998,1,1,7,30,9,0,0,0,0,0,0,0,0,0,56.44,92.75,0.191,960,1.341,98.7,2.3000000000000003,0.0000,0.0000
1998,1,1,8,30,12,34,549,111,0,0,34,549,0,111,48.39,81.99,0.191,970,1.334,99.2,3.2,0.0000,0.0000
1998,1,1,9,30,15,54,769,286,0,0,54,769,0,286,39.480000000000004,72.4,0.191,970,1.341,102.10000000000001,4.1000000000000005,14.3223,11.0543
1998,1,1,10,30,18,65,863,436,0,0,65,863,0,436,33.33,64.53,0.191,970,1.351,113.2,4.1000000000000005,23.3358,18.1708
1998,1,1,11,30,20,71,908,537,0,1,71,908,0,537,30.02,59.1,0.191,960,1.357,122.30000000000001,3.6,29.7588,23.2540
1998,1,1,12,30,21,73,924,579,0,1,73,924,0,579,28.62,56.81,0.191,960,1.358,132.5,3.2,32.4800,25.4085
1998,1,1,13,30,22,72,916,557,0,1,72,916,0,557,27.28,58.050000000000004,0.191,960,1.346,144.9,3,31.0454,24.2722
1998,1,1,14,30,22,67,882,473,0,1,67,882,0,473,27.59,62.61,0.191,960,1.309,154.20000000000002,2.8000000000000003,25.6556,20.0055
1998,1,1,15,30,20,59,805,336,1,1,59,805,0,336,29.86,69.82000000000001,0.191,960,1.27,158.20000000000002,2,17.2288,13.3448
1998,1,1,16,30,17,43,633,164,0,5,43,633,0,164,47.19,78.96000000000001,0.191,960,1.2590000000000001,160.4,1.4000000000000001,7.8218,5.9687
1998,1,1,17,30,14,0,0,0,0,4,0,0,0,0,53.74,89.41,0.191,960,1.283,163.3,1.4000000000000001,0.0000,0.0000
1998,1,1,18,30,13,0,0,0,0,3,0,0,0,0,57.35,100.75,0.191,960,1.331,158,1.5,0.0000,0.0000
1998,1,1,19,30,12,0,0,0,0,3,0,0,0,0,55.86,112.67,0.191,960,1.391,147.4,1.5,0.0000,0.0000
1998,1,1,20,30,11,0,0,0,0,3,0,0,0,0,58.38,124.94,0.191,960,1.452,134.5,1.5,0.0000,0.0000
1998,1,1,21,30,11,0,0,0,0,2,0,0,0,0,61.25,137.38,0.191,960,1.504,121.7,1.5,0.0000,0.0000
1998,1,1,22,30,10,0,0,0,0,2,0,0,0,0,60.15,149.73,0.191,960,1.54,114.5,1.6,0.0000,0.0000
1998,1,1,23,30,10,0,0,0,4,2,0,0,0,0,63.15,161.33,0.191,960,1.566,113.30000000000001,1.7000000000000002,0.0000,0.0000
1998,1,2,0,30,10,0,0,0,0,2,0,0,0,0,62.04,168.92000000000002,0.191,960,1.592,116.60000000000001,1.8,0.0000,0.0000
1998,1,2,1,30,9,0,0,0,0,1,0,0,0,0,61.2,164.42000000000002,0.191,960,1.621,120.7,2,0.0000,0.0000
1998,1,2,2,30,9,0,0,0,0,1,0,0,0,0,60.59,153.42000000000002,0.191,960,1.637,121.60000000000001,2.2,0.0000,0.0000
