Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,77090,-,-,-,33.33,-113.82,-7,644,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
1998,1,1,0,30,8,0,0,0,4,0,0,0,0,0,57,169.5,0.17400000000000002,940,1.43,60.800000000000004,1.8,0.0000,0.0000
1998,1,1,1,30,7,0,0,0,0,0,0,0,0,0,56.46,164.72,0.17400000000000002,940,1.417,66,1.9000000000000001,0.0000,0.0000
1998,1,1,2,30,7,0,0,0,0,0,0,0,0,0,59.82,153.5,0.17400000000000002,940,1.3920000000000001,73.10000000000001,2.1,0.0000,0.0000
1998,1,1,3,30,6,0,0,0,0,0,0,0,0,0,59.29,141.16,0.17400000000000002,940,1.36,78.2,2.4000000000000004,0.0000,0.0000
1998,1,1,4,30,6,0,0,0,0,0,0,0,0,0,58.910000000000004,128.64000000000001,0.17400000000000002,940,1.325,80.80000000000001,2.7,0.0000,0.0000
1998,1,1,5,30,6,0,0,0,0,0,0,0,0,0,62.81,116.24000000000001,0.17400000000000002,940,1.29,82.7,3,0.0000,0.0000
1998,1,1,6,30,6,0,0,0,0,0,0,0,1,0,62.56,104.13,0.17400000000000002,940,1.26,84.80000000000001,3.4000000000000004,0.0000,0.0000
1998,1,1,7,30,7,0,0,0,0,0,0,0,0,0,58.13,92.54,0.17400000000000002,940,1.246,86.10000000000001,4,0.0000,0.0000
1998,1,1,8,30,9,35,564,116,0,0,35,564,0,116,51.480000000000004,81.72,0.17400000000000002,940,1.2510000000000001,86.7,4.7,0.0000,0.0000
1998,1,1,9,30,11,54,781,294,0,0,54,781,0,294,42.97,72.06,0.17400000000000002,940,1.262,90.9,5.2,14.7696,11.4054
1998,1,1,10,30,14,64,875,446,0,1,64,875,0,446,36.33,64.13,0.17400000000000002,940,1.2690000000000001,96.9,5.1000000000000005,23.9397,18.6469
1998,1,1,11,30,17,70,919,548,0,1,70,919,0,548,32.79,58.64,0.17400000000000002,940,1.27,100.30000000000001,4.6000000000000005,30.4462,23.7967
1998,1,1,12,30,18,71,936,590,0,1,71,936,0,590,31.400000000000002,56.33,0.17400000000000002,940,1.266,104.9,4,33.1764,25.9587
1998,1,1,13,30,19,70,929,568,0,1,70,929,0,568,30.080000000000002,57.59,0.17400000000000002,940,1.246,111.9,3.4000000000000004,31.7356,24.8173
1998,1,1,14,30,19,66,896,484,0,2,66,896,0,484,28.64,62.190000000000005,0.17400000000000002,940,1.21,120.7,3,26.3247,20.5331
1998,1,1,15,30,18,57,821,346,0,2,57,821,0,346,30.82,69.47,0.17400000000000002,940,1.187,127.2,2.2,17.7967,13.7906
1998,1,1,16,30,15,42,654,171,0,5,42,654,0,171,46.03,78.67,0.17400000000000002,940,1.196,133,1.4000000000000001,8.1618,6.2309
1998,1,1,17,30,13,0,0,0,0,4,0,0,0,0,52.47,89.18,0.17400000000000002,940,1.228,137.20000000000002,1.3,0.0000,0.0000
1998,1,1,18,30,12,0,0,0,0,3,0,0,0,0,52.2,100.58,0.17400000000000002,940,1.2670000000000001,134.6,1.3,0.0000,0.0000
1998,1,1,19,30,12,0,0,0,0,3,0,0,0,0,50.910000000000004,112.56,0.17400000000000002,940,1.31,128.20000000000002,1.3,0.0000,0.0000
1998,1,1,20,30,11,0,0,0,0,2,0,0,0,0,53.21,124.89,0.17400000000000002,940,1.353,119,1.3,0.0000,0.0000
1998,1,1,21,30,10,0,0,0,0,2,0,0,0,0,55.980000000000004,137.39000000000001,0.17400000000000002,940,1.383,109.10000000000001,1.4000000000000001,0.0000,0.0000
1998,1,1,22,30,9,0,0,0,0,2,0,0,0,0,59.11,149.83,0.17400000000000002,940,1.4000000000000001,104.10000000000001,1.4000000000000001,0.0000,0.0000
1998,1,1,23,30,9,0,0,0,4,2,0,0,0,0,58.38,161.58,0.17400000000000002,930,1.42,103,1.5,0.0000,0.0000
1998,1,2,0,30,8,0,0,0,0,2,0,0,0,0,61.82,169.39000000000001,0.17400000000000002,930,1.454,103.5,1.6,0.0000,0.0000
1998,1,2,1,30,8,0,0,0,0,1,0,0,0,0,61.480000000000004,164.73,0.17400000000000002,930,1.488,105.10000000000001,1.8,0.0000,0.0000
